year,title,studios,authors,themes,genres,tags,bangumi_tags,extra_tags,active
2025,乱马二分之一,,,,,,,,true
2025,剧场版 蕾塞篇,,,,,,,,true
2025,古诺希亚,,,,,,,,true
2025,吊带袜天使,,,,,,,,true
2025,噗妮露是可爱史莱姆,,,,,,,,true
2025,妙屋少女的呢喃,,,,,,,,true
2025,小城日常,,,,,,,,true
2025,小市民,,,,,,,,true
2025,彻夜之歌,,,,,,,,true
2025,忍者与杀手二人组的日常生活,,,,,,,,true
2025,我们不可能成为恋人！绝对不行,,,,,,,,true
2025,时光荏苒饭菜依旧,,,,,,,,true
2025,明天，美食广场见,,,,,,,,true
2025,更衣人偶,,,,,,,,true
2025,末日后酒店,,,,,,,,true
2025,狼与香辛料,,,,,,,,true
2025,琉璃的宝石,,,,,,,,true
2025,石纪元,,,,,,,,true
2025,碧蓝之海,,,,,,,,true
2025,胆大党,,,,,,,,true
2025,超超超超超喜欢你的100个女朋友,,,,,,,,true
2025,辉夜大小姐想让我告白,,,,,,,,true
2025,金牌得主,,,,,,,,true
2025,间谍过家家,,,,,,,,true
2025,雨と君と,,,,,,,,true
